Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0.2732,Wed Jun 06 19:31:43 +0000 2018,0.9,0.0,0.1,"First responders in Russellville, Arkansas, went above and beyond the call of duty to surprise a teen with autism a… https://t.co/AsHyMnBQy4",1,CNN
0.0,Wed Jun 06 19:27:43 +0000 2018,1.0,0.0,0.0,RT @CNNOpinion: Trump aide Michael Kratsios: The future of American aviation is all about drones https://t.co/SB2MGqhXgA,2,CNN
0.0,Wed Jun 06 19:24:12 +0000 2018,1.0,0.0,0.0,"Democratic Rep. Nydia Velázquez is calling for ""an independent commission similar to what we had after 9/11"" to inv… https://t.co/LXGm56LzOr",3,CNN
-0.128,Wed Jun 06 19:20:06 +0000 2018,0.742,0.14,0.118,The clothes of a leading figure in Germany's far-right Alternative for Germany party were stolen while he was swimm… https://t.co/Jmriq1CvIa,4,CNN
-0.5994,Wed Jun 06 19:15:00 +0000 2018,0.794,0.206,0.0,"History according to Trump, War of 1812 edition | Analysis by CNN's Z. Byron Wolf https://t.co/z8fEjVSyrw https://t.co/sIahAp9lVE",5,CNN
0.6908,Wed Jun 06 19:09:15 +0000 2018,0.749,0.0,0.251,A middle school gave graduates a gift it hopes they never have to use -- bullet- and stab-resistant ballistic shiel… https://t.co/6kaFkHyJVE,6,CNN
0.0,Wed Jun 06 19:02:38 +0000 2018,1.0,0.0,0.0,10 headlines that will make you wonder how Scott Pruitt still has a job | Analysis by @CillizzaCNN… https://t.co/aTyZdLu7LK,7,CNN
0.0,Wed Jun 06 18:53:30 +0000 2018,1.0,0.0,0.0,Lava flow evaporated Hawaii's largest freshwater lake within hours https://t.co/WIDroYynU9 https://t.co/JwrD3kzCb0,8,CNN
0.1027,Wed Jun 06 18:46:06 +0000 2018,0.924,0.0,0.076,A government watchdog has cleared Interior Secretary Ryan Zinke from improper political activity when he spoke to a… https://t.co/QZ2cAMKmtM,9,CNN
0.3182,Wed Jun 06 18:44:15 +0000 2018,0.892,0.0,0.108,"National Park Service acting director Paul Daniel Smith apologized to employees in an email for behaving ""in an ina… https://t.co/sjPiLUeXvk",10,CNN
0.4404,Wed Jun 06 18:33:04 +0000 2018,0.854,0.0,0.146,The Consumer Financial Protection Bureau has effectively dismissed all the members of an outside board that advises… https://t.co/mwZibCPjFs,11,CNN
-0.4585,Wed Jun 06 18:31:18 +0000 2018,0.692,0.308,0.0,Why people aren't feeling the strength of the economy https://t.co/1Hfu2CyNnx https://t.co/X7MPPZ032t,12,CNN
-0.3182,Wed Jun 06 18:30:20 +0000 2018,0.897,0.103,0.0,"RT @CNNnewsroom: ""The American people are not props,""says Ziad Ahmed, a student activist who is calling for Muslims to boycott Trump’s Ifta…",13,CNN
-0.296,Wed Jun 06 18:18:24 +0000 2018,0.891,0.109,0.0,The former head of USA Gymnastics exercised his Fifth Amendment right to avoid self-incrimination and declined to t… https://t.co/1pOJJLjD4d,14,CNN
-0.1695,Wed Jun 06 18:17:22 +0000 2018,0.926,0.074,0.0,"RT @CNNnewsroom: Whether or not a person is pardoned ""shouldn't be based on which celebrities have access to the President,"" says Rep. Ted…",15,CNN
0.2263,Wed Jun 06 18:07:01 +0000 2018,0.905,0.0,0.095,"How Apple, which is currently worth $945 billion and on track to become the first-ever trillion-dollar company, has… https://t.co/n5sQ6hRTyh",16,CNN
0.0,Wed Jun 06 18:00:00 +0000 2018,1.0,0.0,0.0,"These unusual-looking concrete houses will be constructed using a 3D printer in Eindhoven, the Netherlands:… https://t.co/6jXo8LlcMI",17,CNN
0.765,Wed Jun 06 17:55:30 +0000 2018,0.742,0.0,0.258,"""We thank our great Singaporean hosts for their hospitality."" Donald Trump and Kim Jong Un will meet at the Capella… https://t.co/Ab0EaE5Cta",18,CNN
0.0,Wed Jun 06 17:45:00 +0000 2018,1.0,0.0,0.0,"From delivery to aviation, Dubai is at the forefront of drone experimentation. Here's a look at what the future hol… https://t.co/q0S1qZFoHp",19,CNN
-0.1027,Wed Jun 06 17:43:50 +0000 2018,0.931,0.069,0.0,It's hard to remember a time when Starbucks wasn't on every big-city corner and in every US suburban shopping cente… https://t.co/S6lkccOuee,20,CNN
-0.7906,Wed Jun 06 17:33:39 +0000 2018,0.72,0.28,0.0,British troops burned down the White House during the War of 1812. Historians note the British attack on Washington… https://t.co/da00rwRB2h,21,CNN
0.34,Wed Jun 06 17:33:06 +0000 2018,0.882,0.0,0.118,"According to the sources, Trudeau pressed Trump on how he could justify the tariffs as a ""national security"" issue.… https://t.co/EMylmUA4zt",22,CNN
-0.0772,Wed Jun 06 17:31:49 +0000 2018,0.942,0.058,0.0,President Trump and Canadian PM Justin Trudeau had a testy phone call on May 25 over new tariffs imposed by the Tru… https://t.co/UEms7CfP5A,23,CNN
0.0,Wed Jun 06 17:22:41 +0000 2018,1.0,0.0,0.0,Republican megadonor and billionaire David Koch is stepping down from his role at Koch Industries and other organiz… https://t.co/C93TWf7bxd,24,CNN
-0.5106,Wed Jun 06 17:21:51 +0000 2018,0.829,0.171,0.0,Democratic Sen. Dick Durbin says healthcare will be the party's priority for the canceled August recess… https://t.co/9qBZTGZYJI,25,CNN
-0.7269,Wed Jun 06 17:10:09 +0000 2018,0.681,0.319,0.0,The maker of Jack Daniel's is worried about the impact of a trade war https://t.co/5rEiKMiNBa https://t.co/GfJJhgIgBC,26,CNN
0.4404,Wed Jun 06 17:00:03 +0000 2018,0.854,0.0,0.146,"Things are a little bit cheaper at Costco, Target, Walmart and Kroger this year thanks to a price war… https://t.co/gGc6Ozrila",27,CNN
0.0,Wed Jun 06 16:55:36 +0000 2018,1.0,0.0,0.0,"Steamboat Geyser in Yellowstone National Park is erupting unusually frequently. On June 4, the geyser had its eight… https://t.co/FJhiVtbNli",28,CNN
-0.4019,Wed Jun 06 16:53:29 +0000 2018,0.828,0.172,0.0,Paul Manafort could be in big trouble | By Paul Callan via @CNNOpinion https://t.co/MPcnd4ekF8 https://t.co/SrLVt49ThU,29,CNN
0.0,Wed Jun 06 16:40:09 +0000 2018,1.0,0.0,0.0,"How much longer can the US economy keep rolling? Tune in to @CNNMoney's ""Markets Now at 12:45pm ET to see economist… https://t.co/F4oK0zR21U",30,CNN
